# dataset B: 12440 rows, 3063 chemical families. data/datasetB_featurized.npz rows (Tc>0 subset of data/supercon_stanev.csv); family = `groups` field.
# fold_deterministic = GroupKFold(5) (no shuffle, published protocol); fold_seedS = GroupKFold(5, shuffle=True,
#   random_state=S); random_fold_seedS = KFold(5, shuffle=True, random_state=S). scikit-learn 1.7.2,
#   pandas 2.3.2, numpy 2.3.3. Generated by code/v2/make_splits.py.
# GroupKFold breaks size ties by the ORDER of the integer family codes (pandas.factorize order of first
#   appearance), so the fold assignment depends on the code order, not only on the family partition.
#   These indices, not just the procedure, are the reference. Read with pandas.read_csv(..., comment='#').
row_index,family_id,family_key,fold_deterministic,fold_seed0,fold_seed1,fold_seed2,fold_seed3,fold_seed4,random_fold_seed0,random_fold_seed1,random_fold_seed2,random_fold_seed3,random_fold_seed4,fold_deterministic_v1_prefilter_codes
65,62,Al|Ge|Nb,2,3,3,0,1,3,1,0,3,3,3,2
66,50,Ba|Ca|Cu|Er|La|O,3,3,0,3,1,3,2,2,2,4,0,2
67,63,As|F|Fe|La|Mn|O,2,4,4,0,3,1,2,1,1,0,2,2
68,64,Ba|Cu|O|Y|Zn,1,1,2,4,3,2,3,2,1,2,2,1
69,65,Ba|Bi|K|O,3,2,0,2,0,0,2,4,3,1,0,3
70,66,Ba|Ca|Cu|La|O|Sr,3,2,3,2,4,1,2,2,1,1,1,2
71,26,Fe|Ga|Se,4,4,3,4,1,1,3,4,2,3,1,4
72,54,Nb|Ta,1,2,0,0,3,2,1,1,0,2,1,0
73,67,La|Nd|Pt|Si,0,4,2,3,3,0,4,4,4,1,3,0
74,68,Bi|Sn,2,3,2,0,3,1,2,0,4,4,0,1
75,69,Pa,3,0,3,0,0,0,4,3,3,0,2,1
76,70,B|C|Mn|Ni|Y,1,0,4,3,0,0,3,4,3,2,3,3
77,71,Ba|Cu|Li|O|Y,4,2,4,1,4,0,4,4,4,1,1,3
78,72,B|C|Mg|Ni,4,2,0,0,0,0,4,3,4,1,2,2
79,36,Bi|Ca|Cu|O|Sr|Y,4,2,4,1,1,0,4,0,1,3,3,4
80,73,Bi|Rh,2,2,2,4,0,3,4,4,4,4,3,3
81,74,Ba|Cu|La|O|Y,2,3,3,3,3,1,4,2,0,1,1,2
82,75,Pd|S,4,3,0,1,3,2,3,0,3,3,0,2
83,76,Ge|V,1,0,1,0,2,0,1,1,2,3,0,3
84,77,Cu|O|Sr|W|Y,1,2,4,3,4,1,2,4,2,4,4,3
85,36,Bi|Ca|Cu|O|Sr|Y,4,2,4,1,1,0,1,0,3,3,3,4
86,78,Nb|V,0,3,3,4,2,0,3,2,0,3,4,2
87,79,Fe|Se|Te,4,3,3,0,1,3,1,2,1,1,1,0
88,80,Ge|Ir,1,2,2,1,2,4,2,4,1,2,3,4
89,65,Ba|Bi|K|O,3,2,0,2,0,0,4,1,2,0,3,3
90,81,Ba|Cu|O|Yb|Zn,4,3,0,2,1,2,0,1,0,1,3,2
91,82,Fe|Ni|Zr,3,2,1,0,0,4,4,0,0,1,1,0
92,83,Bi|Ca|Cu|O|Sr|Zn,4,3,3,1,1,2,1,0,4,0,3,0
93,84,H|Pd,0,4,3,0,4,4,4,3,3,1,1,2
94,49,Ba|Cu|La|O,3,0,2,4,3,0,0,2,0,1,4,3
95,85,Rh|Ta,3,2,3,2,1,4,3,4,1,4,1,2
96,86,Ba|Cu|O|Y,4,4,4,2,0,4,2,4,4,1,4,4
97,87,As|Nb,3,1,0,3,0,0,3,3,4,0,0,0
98,88,La|Sn|Th,3,2,2,4,4,0,0,0,0,4,1,0
99,51,Cu|La|O|Sm|Sr,4,3,2,4,3,3,4,0,2,1,3,4
100,89,In|Pb|Sn|Te,1,2,1,2,3,2,4,3,1,2,1,1
101,90,As|Fe|H|La|O,2,3,1,3,4,0,4,1,3,3,2,2
102,91,Ba|Ca|Co|Cu|Er|O,3,4,1,3,0,4,3,1,0,2,0,1
103,92,As|Ba|Co|Fe|Mn,0,0,4,4,2,2,0,1,0,1,3,2
104,93,La|Ru,1,4,1,0,3,4,3,3,4,1,0,3
105,94,Ir|Rh|Zr,4,4,1,2,4,2,3,4,4,2,2,1
106,95,Al|Fe,1,3,4,0,3,2,4,1,4,4,2,1
107,65,Ba|Bi|K|O,3,2,0,2,0,0,4,3,2,2,0,3
108,96,B|Ir|Lu|Y,2,2,4,4,4,4,3,0,3,3,0,3
109,97,As|Co|Eu|Fe|Sr,2,1,3,4,1,3,2,4,0,4,3,0
110,98,B|C|Ni|Pr|Y,0,0,0,0,3,1,4,3,0,3,2,2
111,99,Au|In,0,4,0,1,2,3,4,1,3,1,1,3
112,100,Co|Y,0,4,4,4,1,4,4,0,2,2,4,1
113,101,La|Ru|Sb,2,2,2,0,2,1,2,4,2,0,4,2
114,102,Al|Fe|Se,2,2,0,0,3,0,2,4,1,4,4,0
115,103,Pd|Sn|Tm|Y,4,3,2,0,0,1,4,0,2,0,0,0
116,104,B|Mg|Zn,2,0,2,2,4,1,4,1,4,3,3,1
117,105,Al|Hf|Nb,0,3,4,4,2,2,2,2,1,2,2,4
118,106,Nb|Ru,2,2,3,4,1,3,0,1,2,1,1,0
119,107,B|Ca|Pt,1,1,0,0,2,4,0,0,3,2,2,4
120,108,As|Ba|Fe|Pd,0,2,0,1,1,4,4,3,0,2,1,4
121,109,Ba|Cu|Er|Fe|O|Zn,0,1,4,3,3,2,0,1,2,3,4,4
122,110,Au|Ge|Yb,2,3,0,0,4,0,0,2,2,1,4,0
123,111,Ba|Cu|Eu|Fe|O,4,3,0,0,0,0,4,3,1,1,3,4
124,112,Pt|V,1,4,4,0,1,3,0,4,1,2,4,3
125,113,Ce|Cu|Nb|O|Sm|Sr,3,0,4,4,4,1,0,2,1,1,1,0
126,114,Cu|O|Sr|Y,4,3,4,2,2,3,0,2,4,3,0,4
127,115,Pb|Tl,4,3,1,2,2,0,4,4,0,4,3,2
128,116,As|F|Fe|La|O|Ru,4,3,4,1,0,1,4,0,0,2,2,0
129,59,Bi|Ca|Cu|O|Sr,2,1,2,3,0,3,4,0,1,4,1,2
130,117,Cu|V,2,0,3,1,4,4,2,0,0,2,2,0
131,118,Ir|Mo,3,0,4,2,3,3,4,4,3,3,0,0
132,119,As|F|Fe|La|O,3,1,1,1,3,4,3,4,2,4,0,2
133,120,As|Co|Fe|O|P|Pr,0,3,0,3,0,1,0,3,2,4,2,2
134,121,B|C|Ni|Th,0,1,3,2,1,4,0,0,4,2,4,2
135,122,La|Os|P|Ru,3,2,4,0,2,3,3,0,0,1,0,4
136,123,B|C|Co|Lu|Ni,4,3,0,1,0,4,4,1,4,1,3,0
137,124,B|Er|Ho|Rh,1,0,1,4,0,2,1,2,2,4,2,0
138,125,Nb|Sn|Ti,2,1,2,3,4,1,1,1,3,0,3,1
139,126,Bi|Ca|Cu|Nd|O|Pb|Sr,2,4,0,2,0,1,4,2,3,3,3,4
140,127,Cd|In,3,3,3,1,3,1,0,3,3,2,4,2
141,128,Cl|Li|N|Zr,1,1,2,3,1,1,3,2,2,4,2,4
142,129,Ba|Ca|Cu|O|Y|Zn,0,2,4,0,4,4,2,1,2,4,1,4
143,64,Ba|Cu|O|Y|Zn,1,1,2,4,3,2,1,4,1,0,0,1
144,130,Be|Th|U,2,4,1,0,3,3,0,4,1,1,1,0
145,131,Ba|O|Sb|Sn|Ti,2,3,3,0,0,1,3,2,0,4,1,0
146,132,Nb|Ti|V,4,1,2,4,3,2,0,0,4,0,4,3
147,133,La|Te,1,1,0,0,4,2,1,1,4,4,1,3
148,134,As|Fe|O|Sr|V,1,1,1,3,2,2,0,4,1,3,2,1
149,135,Gd|Th,4,1,2,4,3,2,2,4,3,3,0,2
150,136,Nb|Zr,0,4,3,4,3,1,1,1,3,3,0,1
151,137,As|Fe|Mg|O|Sr|Ti,4,0,1,0,2,0,1,3,3,0,2,1
152,138,Ir|V,0,0,2,3,3,2,1,4,0,2,2,1
153,139,Al|B|Mg,1,1,3,4,1,1,2,0,2,0,0,1
154,140,Cu|S|Ta,4,2,1,0,0,4,0,3,4,3,2,3
155,141,Ga|La|Ni,4,1,3,2,4,1,1,4,3,3,0,4
156,105,Al|Hf|Nb,0,3,4,4,2,2,1,4,2,1,2,4
157,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,1,2,2,1,1,0
158,142,Br|C|I|Y,2,2,2,0,2,4,1,3,1,0,0,0
159,143,Au|Te,3,2,4,0,3,4,0,0,1,4,0,4
160,144,B|C|Dy|Ho|Ni,3,1,4,4,2,0,3,3,2,2,2,1
161,145,Ba|Cu|Dy|O,2,1,4,1,3,4,2,1,2,4,1,2
162,118,Ir|Mo,3,0,4,2,3,3,1,1,4,4,3,0
163,146,Ba|Cu|Er|O,0,4,2,1,2,2,3,4,4,0,2,0
164,147,C|Si|V,3,3,3,4,1,1,1,4,3,0,3,0
165,148,Nb|Ti,4,0,1,0,2,1,4,1,2,2,1,2
166,149,Rh|W,1,0,2,2,1,4,3,2,0,2,4,2
167,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,0,3,0,4,4,0
168,150,B|C|Dy|Ni|Tm,1,3,4,4,2,3,4,4,0,3,3,4
169,151,Cu|Th,0,4,0,4,4,4,2,1,1,2,2,0
170,152,Ba|Cu|O|Sr|Y,2,2,4,0,3,2,1,1,4,1,3,0
171,39,B|Er|Gd|Rh,2,1,2,2,3,2,3,3,1,4,2,3
172,153,Ba|Cu|Ni|O|Y,1,4,4,4,2,1,1,3,1,3,3,1
173,154,In|Te,2,2,3,2,0,1,2,4,3,1,4,4
174,155,Ba|Cu|Dy|Ga|O,1,3,4,2,3,2,1,4,0,3,0,1
175,156,Pd|Se,3,0,3,1,0,4,0,0,1,0,1,2
176,157,Cu|Ge,2,1,0,0,0,1,0,4,4,1,2,2
177,158,Ga|Mo,1,1,2,0,3,1,3,0,4,1,4,2
178,159,Ba|Cu|Hg|O|Zn,3,2,3,3,3,3,4,4,4,0,4,2
179,160,Ba|Cu|O|Re|Y,2,4,2,2,0,0,1,2,1,3,3,0
180,161,Al|Ge|V,4,1,0,2,4,0,0,3,0,4,4,3
181,162,Hf|Nb|V,4,1,4,4,2,1,1,0,1,3,4,3
182,163,Ge|La,4,4,2,2,2,1,1,4,1,0,2,4
183,164,Nb|Pd|W,0,4,3,3,0,1,4,4,1,0,3,0
184,165,Cu|La|O|Zn,2,3,0,2,2,4,4,4,0,2,2,2
185,166,Ce|La|Ru,3,4,1,1,0,3,1,1,1,3,4,1
186,167,Ir|Lu|Sc|Si,0,3,2,4,4,3,1,1,1,2,1,2
187,168,Cu|La|O,0,4,4,4,1,3,0,3,4,2,0,0
188,169,La|Sn,0,0,0,2,2,1,0,2,0,1,1,3
189,170,Pd|Sn,2,2,3,4,1,2,0,4,3,4,1,4
190,171,As|Ca|Co|Fe,3,2,0,0,3,4,0,3,4,4,4,3
191,172,B|Nb,4,3,2,3,2,0,2,2,0,3,1,1
192,173,Ba|Ge|Ni|P,1,1,1,1,0,4,2,1,2,2,0,0
193,36,Bi|Ca|Cu|O|Sr|Y,4,2,4,1,1,0,3,4,0,0,2,4
194,174,Mo|P|Ru,0,4,4,3,3,4,2,2,1,0,1,1
195,27,Ni|Ti|Zr,0,1,3,0,1,3,2,2,3,0,4,2
196,175,K|O|W,0,1,3,3,0,0,0,2,4,1,0,4
197,22,Ba|Co|Cu|O|Y,3,0,2,2,0,4,3,1,3,3,1,3
198,176,B|C|Mo|Zr,4,4,2,1,4,4,2,4,0,1,4,4
199,177,C|Cu|N|O|Pb|Sr|Tl,0,2,0,3,3,3,4,4,2,0,4,0
200,178,Bi|Hf|La|O|S,3,2,3,4,2,1,2,0,4,1,0,3
201,179,Ta|V,4,0,4,3,1,0,0,2,2,4,4,2
202,86,Ba|Cu|O|Y,4,4,4,2,0,4,1,0,1,0,0,4
203,180,Cu|Gd|Nd|O|Ru|Sr,1,4,0,1,2,3,3,0,2,0,0,2
204,181,Bi|Ca|Cu|O|Pb|Sr|V,4,3,0,1,2,3,0,3,1,2,2,1
205,182,La|Y,2,0,1,3,4,0,2,3,1,1,1,1
206,183,Ba|Ca|Cu|O|Tl,2,3,4,2,0,4,0,2,3,1,3,2
207,184,Cu|Er|O|Ru|Sr,0,2,4,0,1,4,4,3,1,3,3,3
208,185,C|S,0,2,3,1,4,4,4,4,0,2,0,3
209,12,Ba|Ca|Cu|O|Y,3,3,3,3,4,4,2,0,2,3,3,3
210,186,O|Pd|Zr,4,3,1,4,3,0,0,2,1,1,2,0
211,187,C|La|Ni|Th,1,2,0,4,3,4,3,0,4,2,2,3
212,12,Ba|Ca|Cu|O|Y,3,3,3,3,4,4,1,2,2,1,4,3
213,188,Ba|Ca|Cu|La|O|Sm,2,1,1,2,2,1,4,4,0,0,0,3
214,146,Ba|Cu|Er|O,0,4,2,1,2,2,0,2,0,4,4,0
215,189,Rh|Zr,4,0,1,3,3,1,4,1,2,3,3,4
216,161,Al|Ge|V,4,1,0,2,4,0,1,3,4,2,0,3
217,190,La|Th,4,2,1,4,3,4,1,0,4,0,0,1
218,191,Li|O|Ti,0,1,1,4,4,2,2,0,2,3,2,4
219,192,Nb|Ta|Ti,2,0,0,2,0,4,2,2,2,4,4,0
220,193,C|Nb|Zr,4,3,3,2,2,3,0,0,2,4,0,3
221,194,B|C|Co|Ni|Tm,3,1,1,1,0,1,0,1,1,0,0,0
222,195,Cd|Ce|Co|In,1,0,0,2,1,4,4,0,0,0,0,4
223,89,In|Pb|Sn|Te,1,2,1,2,3,2,2,0,4,2,0,1
224,196,La|Os|Pr|Sb,0,0,1,4,4,4,1,3,0,2,3,3
225,189,Rh|Zr,4,0,1,3,3,1,2,3,3,4,3,4
226,44,Cu|La|Nd|O|Sr,3,0,2,3,4,2,0,2,3,2,0,0
227,197,In|Mo|Se,2,4,4,2,1,3,2,0,0,4,2,1
228,198,B|Ir|Th,1,2,2,3,1,3,3,3,4,3,0,3
229,199,Al|Si|V,4,4,1,1,1,2,0,0,2,1,2,4
230,200,Ir|Rh,1,1,1,1,4,4,0,3,0,2,0,3
231,112,Pt|V,1,4,4,0,1,3,2,0,0,0,3,3
232,201,Ag|B|F|O,4,4,0,2,2,4,3,0,4,0,2,0
233,202,Bi|Sb,0,0,2,1,0,3,0,2,0,4,2,4
234,203,Ce|Cu|Gd|O|Pr,3,2,0,3,2,0,1,0,0,0,3,3
235,64,Ba|Cu|O|Y|Zn,1,1,2,4,3,2,2,4,4,1,3,1
236,179,Ta|V,4,0,4,3,1,0,4,3,2,0,1,2
237,204,Cu|La|O|Pr|Sr,1,1,2,0,1,0,1,2,2,4,2,0
238,205,Ba|Ca|Cu|Gd|In|La|O|Sr,3,2,0,3,1,4,0,2,1,0,4,4
239,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,4,0,0,3,4,0
240,206,Ir|La,4,1,1,4,1,3,2,0,1,1,3,4
241,207,Ce|La,4,4,2,3,2,4,2,3,2,0,2,2
242,208,In|Sn,3,3,1,1,0,1,0,2,0,3,3,2
243,46,As|Ba|Co|Fe|Zn,1,3,3,2,1,3,4,4,3,0,1,3
244,209,Ni|V|Zr,0,4,2,0,0,1,1,3,3,2,4,4
245,210,B|Mg,3,2,2,2,0,0,0,4,4,2,3,4
246,166,Ce|La|Ru,3,4,1,1,0,3,2,1,0,0,3,1
247,211,Mo|U,1,2,2,1,0,3,0,4,4,0,3,0
248,119,As|F|Fe|La|O,3,1,1,1,3,4,3,0,2,2,0,2
249,212,C|In|Nb,3,3,2,3,0,4,3,0,0,4,4,1
250,213,As|Ba|Ce|Fe,2,3,4,3,4,0,4,1,2,2,3,3
251,214,Ce|Ni|Pt|Si,4,2,4,4,3,1,3,2,0,4,2,4
252,215,Ir|Nb|Ta,1,1,3,1,1,1,2,2,4,0,2,1
253,216,Cu|La|O|Sr,4,4,1,1,0,1,0,3,1,3,1,4
254,217,Ce|Cu|O|Sm,3,0,2,1,4,4,1,0,1,0,1,2
255,218,C|Mo|Ta,1,3,0,0,3,0,4,0,4,0,4,0
256,153,Ba|Cu|Ni|O|Y,1,4,4,4,2,1,0,1,1,3,1,1
257,219,Bi,2,2,1,0,4,4,1,4,2,0,3,3
258,220,Hg|Zr,3,1,0,1,2,3,3,3,1,4,2,3
259,221,As|Fe|Ru|Sr,3,4,1,0,1,0,3,1,0,0,4,2
260,222,Pb|Te|Tl,4,3,4,4,1,0,2,0,3,2,0,0
261,51,Cu|La|O|Sm|Sr,4,3,2,4,3,3,2,4,1,1,3,4
262,89,In|Pb|Sn|Te,1,2,1,2,3,2,2,2,4,4,0,1
263,223,B|C|Co|Ni|Y,1,1,2,3,4,2,1,1,3,1,4,4
264,153,Ba|Cu|Ni|O|Y,1,4,4,4,2,1,3,4,3,2,3,1
265,224,Ce|Cu|La|Nd|O,3,0,0,4,2,0,1,4,1,2,0,2
266,36,Bi|Ca|Cu|O|Sr|Y,4,2,4,1,1,0,4,4,4,0,1,4
267,225,Ga|Sb|V,4,3,4,4,3,2,2,1,3,1,3,4
268,226,Al|Be,4,1,1,1,0,1,4,2,3,2,2,1
269,10,Cu|La|O|Pb|Sr,3,0,0,3,2,2,2,4,2,1,1,3
270,227,Pd|Te,4,0,0,0,2,0,4,3,3,2,4,3
271,228,Ce|Cu|O|Pr|Zn,2,0,1,4,0,2,3,4,1,1,4,4
272,229,B|Li|Pd|Pt,1,1,2,4,0,0,0,1,3,3,0,2
273,230,Ba|Nd|O|Sr,2,3,0,0,3,0,0,2,1,0,3,1
274,231,B|C|Fe|Ni|Y,0,3,0,1,3,2,1,1,4,1,2,3
275,154,In|Te,2,2,3,2,0,1,0,3,1,4,3,4
276,36,Bi|Ca|Cu|O|Sr|Y,4,2,4,1,1,0,1,0,0,4,0,4
277,232,C|Ho|Th,4,1,4,1,1,1,0,4,2,4,1,1
278,200,Ir|Rh,1,1,1,1,4,4,0,0,3,2,4,3
279,233,Er|Rh|Sn,3,2,1,2,4,0,4,2,1,2,2,2
280,172,B|Nb,4,3,2,3,2,0,3,0,3,4,2,1
281,234,B|Ir|V,0,0,3,2,4,4,1,4,0,1,1,2
282,235,Co|Mo,2,0,4,2,2,3,2,0,0,1,4,0
283,236,Ba|Cu|O|Tm,4,3,1,0,0,1,1,1,4,4,3,3
284,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,4,4,4,4,2,0
285,237,B|C|Ni|Sc|Y,0,4,3,1,3,2,3,2,1,2,1,1
286,49,Ba|Cu|La|O,3,0,2,4,3,0,1,0,3,0,0,3
287,238,Bi|Pd|Te,1,1,3,3,2,2,2,0,1,3,1,0
288,239,As|Ba|Fe|Ru,0,3,3,1,1,3,3,0,1,2,0,2
289,194,B|C|Co|Ni|Tm,3,1,1,1,0,1,0,1,2,3,3,0
290,240,As|Ba|Co|Fe|K,1,2,4,0,0,4,2,3,1,2,0,1
291,241,Ga|V,4,3,1,0,4,2,2,1,0,0,3,0
292,0,As|Ba|Fe|K,0,4,2,3,0,4,4,3,2,1,2,1
293,49,Ba|Cu|La|O,3,0,2,4,3,0,4,1,3,0,3,3
294,79,Fe|Se|Te,4,3,3,0,1,3,0,4,1,4,3,0
295,79,Fe|Se|Te,4,3,3,0,1,3,2,4,1,1,1,0
296,242,Ba|Cu|La|O|Sr,2,0,1,1,4,2,0,1,4,2,4,4
297,243,Cu|O|Re|Sr|Y,0,3,4,1,2,4,3,2,1,2,3,3
298,244,As|F|Fe|La|Mn|O|Y,3,1,3,4,2,3,0,1,4,0,4,0
299,245,As|Ca|Fe|Pr|Pt,0,0,4,4,1,0,3,1,4,3,1,3
300,86,Ba|Cu|O|Y,4,4,4,2,0,4,3,2,4,3,1,4
301,246,Bi|K|O,0,4,4,1,0,3,4,0,0,3,1,3
302,247,As|Ca|Fe|La|P,0,3,4,4,2,0,2,3,3,1,2,4
303,248,C|Hf|Nb,3,0,0,2,1,0,4,1,3,1,4,2
304,249,Gd|La|Ru,0,1,4,2,3,3,0,2,1,0,4,3
305,64,Ba|Cu|O|Y|Zn,1,1,2,4,3,2,2,1,1,4,3,1
306,250,Ce|Co|Ru,4,2,1,3,0,4,3,0,4,3,2,1
307,251,Mo|Ti,2,1,3,3,4,3,4,0,0,4,2,0
308,252,Ce|Cu|La|O|Pr,0,0,4,3,3,0,0,1,4,3,3,3
309,253,Fe|K|Mn|Se,2,0,4,0,4,1,0,1,4,0,1,3
310,161,Al|Ge|V,4,1,0,2,4,0,4,4,1,0,2,3
311,254,Cu|Fe|O|Sr|Y,4,1,1,3,3,2,1,0,2,4,2,0
312,255,Ba|Ca|Ce|Cu|O|Tl,2,2,0,4,2,4,0,4,0,3,3,3
313,256,Au|Ga|Pd,3,4,0,1,1,2,1,1,3,0,2,2
314,64,Ba|Cu|O|Y|Zn,1,1,2,4,3,2,3,2,4,2,0,1
315,227,Pd|Te,4,0,0,0,2,0,2,4,2,4,0,3
316,148,Nb|Ti,4,0,1,0,2,1,3,0,0,3,1,2
317,257,As|Ca|Co|Fe|La,1,4,1,3,4,1,1,4,2,1,2,0
318,258,B|C|Ca|Cu|O|Sr,0,3,1,2,2,1,1,2,0,2,4,3
319,152,Ba|Cu|O|Sr|Y,2,2,4,0,3,2,4,4,0,0,4,0
320,259,As|Fe|La|O|Rh,2,0,2,0,4,4,0,1,4,3,4,2
321,260,Ba|Bi|O|Sb|Ti,1,2,0,0,4,0,1,0,3,3,2,3
322,261,Ba|Cu|Nd|O|Pr,3,1,2,4,3,0,2,2,2,1,1,3
323,262,Ag|Tl,2,2,0,2,3,0,3,3,3,2,3,1
324,263,Ga|Nb,3,0,4,0,0,4,4,1,0,0,2,4
