# dataset A: 21263 rows, 3365 chemical families. data/train.csv rows; family = tc_pipeline.chemical_families(data/unique_m.csv).
# fold_deterministic = GroupKFold(5) (no shuffle, published protocol); fold_seedS = GroupKFold(5, shuffle=True,
#   random_state=S); random_fold_seedS = KFold(5, shuffle=True, random_state=S). scikit-learn 1.7.2,
#   pandas 2.3.2, numpy 2.3.3. Generated by code/v2/make_splits.py.
# GroupKFold breaks size ties by the ORDER of the integer family codes (pandas.factorize order of first
#   appearance), so the fold assignment depends on the code order, not only on the family partition.
#   These indices, not just the procedure, are the reference. Read with pandas.read_csv(..., comment='#').
row_index,family_id,family_key,fold_deterministic,fold_seed0,fold_seed1,fold_seed2,fold_seed3,fold_seed4,random_fold_seed0,random_fold_seed1,random_fold_seed2,random_fold_seed3,random_fold_seed4
74,24,Co|Cu|La|O|Sr,2,4,2,4,3,1,0,1,4,4,0
75,25,Cu|La|Ni|O|Sr,3,4,4,4,0,3,4,1,4,0,3
76,26,Cu|La|O|Sr|Zn,4,4,3,4,1,2,2,3,0,3,1
77,27,Cu|La|O|Pr|Sr,1,1,3,0,0,3,4,1,0,0,2
78,28,Cu|La|Nd|O|Sr,3,3,0,3,1,0,3,3,4,0,3
79,29,Cu|La|O|Sm|Sr,4,0,3,4,4,0,4,1,1,4,2
80,30,Cu|Gd|La|O|Sr,2,0,1,2,0,3,4,4,4,4,4
81,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,4,0,0,1,1
82,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,4,0,4,4,2
83,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,2,2,3,3,1
84,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,3,0,0,3,4
85,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,2,0,4,1,0
86,8,Ba|Cu|O|Y,0,1,2,1,3,1,1,2,0,4,3
87,32,Ba|Cu|O|S|Y,1,3,1,4,4,4,2,3,1,1,1
88,33,Ba|Cl|Cu|O|Y,4,0,3,1,2,2,0,0,1,3,4
89,8,Ba|Cu|O|Y,0,1,2,1,3,1,3,2,3,1,0
90,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,2,0,1,1
91,13,Ba|Cu|Gd|O,2,1,0,3,4,0,4,0,1,0,2
92,8,Ba|Cu|O|Y,0,1,2,1,3,1,3,0,4,1,4
93,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,1,2,3,3
94,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,3,0,3,4
95,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,1,1,2,2
96,15,Ba|Cu|Ho|O,0,0,4,0,3,2,3,3,4,1,1
97,34,Ba|Cu|Gd|O|Y,0,2,1,1,1,1,4,4,2,1,1
98,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,2,1,2,2
99,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,1,0,0,1
100,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,3,2,3,3
101,35,Ba|Cu|Nb|O|Y,0,3,1,4,4,0,4,3,0,2,3
102,17,Ba|Cu|O|Sm,4,0,0,3,4,1,3,1,1,2,1
103,17,Ba|Cu|O|Sm,4,0,0,3,4,1,1,2,0,1,4
104,17,Ba|Cu|O|Sm,4,0,0,3,4,1,4,2,4,2,1
105,17,Ba|Cu|O|Sm,4,0,0,3,4,1,4,2,3,3,2
106,17,Ba|Cu|O|Sm,4,0,0,3,4,1,4,0,1,4,3
107,17,Ba|Cu|O|Sm,4,0,0,3,4,1,4,1,3,0,0
108,17,Ba|Cu|O|Sm,4,0,0,3,4,1,4,0,4,3,1
109,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,0,1,3,0
110,36,Bi|Cu|O|Sr,2,2,4,1,2,0,4,0,2,4,2
111,36,Bi|Cu|O|Sr,2,2,4,1,2,0,3,3,1,1,3
112,9,Ba|Cu|Er|O,2,0,3,4,4,4,1,2,3,2,0
113,15,Ba|Cu|Ho|O,0,0,4,0,3,2,3,4,1,2,4
114,13,Ba|Cu|Gd|O,2,1,0,3,4,0,2,4,2,4,4
115,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,0,3,1,2
116,12,Ba|Cu|Eu|O,2,3,0,3,4,4,4,3,1,2,1
117,13,Ba|Cu|Gd|O,2,1,0,3,4,0,3,2,2,3,3
118,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,1,3,3,3
119,6,Ba|Cu|O|Yb,2,1,0,1,0,4,0,0,3,1,3
120,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,3,0,3,0
121,37,Ba|Cu|Ni|O|Y,1,0,2,1,2,2,1,3,3,4,1
122,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,1,3,0,1,4
123,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,4,4,2,2,4
124,2,Cu|La|O|Sr,1,2,3,2,2,0,1,4,3,3,2
125,25,Cu|La|Ni|O|Sr,3,4,4,4,0,3,2,3,3,2,1
126,25,Cu|La|Ni|O|Sr,3,4,4,4,0,3,1,3,3,0,0
127,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,0,3,0,0,4
128,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,4,1,2,3,3
129,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,0,1,3,4,0
130,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,0,0,0,0,3
131,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,4,3,3,4,0
132,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,4,3,2,0
133,8,Ba|Cu|O|Y,0,1,2,1,3,1,1,3,3,0,0
134,9,Ba|Cu|Er|O,2,0,3,4,4,4,0,0,4,3,2
135,39,Ba|Cu|H|O|Y,3,0,2,2,3,2,4,0,1,3,2
136,39,Ba|Cu|H|O|Y,3,0,2,2,3,2,4,2,4,1,3
137,39,Ba|Cu|H|O|Y,3,0,2,2,3,2,3,3,3,2,0
138,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,2,3,2,3
139,12,Ba|Cu|Eu|O,2,3,0,3,4,4,4,3,4,4,3
140,13,Ba|Cu|Gd|O,2,1,0,3,4,0,2,4,2,3,2
141,14,Ba|Cu|Dy|O,4,1,4,1,3,3,4,3,0,2,3
142,15,Ba|Cu|Ho|O,0,0,4,0,3,2,0,0,2,4,2
143,9,Ba|Cu|Er|O,2,0,3,4,4,4,3,3,2,0,2
144,10,Ba|Cu|O|Tm,3,0,0,3,2,2,2,4,2,0,1
145,6,Ba|Cu|O|Yb,2,1,0,1,0,4,3,3,1,4,2
146,16,Ba|Cu|Lu|O,0,3,2,3,1,4,1,1,4,0,1
147,8,Ba|Cu|O|Y,0,1,2,1,3,1,3,2,4,4,2
148,11,Ba|Cu|Nd|O,2,2,2,2,1,2,0,4,1,3,3
149,17,Ba|Cu|O|Sm,4,0,0,3,4,1,3,4,3,0,0
150,2,Cu|La|O|Sr,1,2,3,2,2,0,0,3,0,3,1
151,2,Cu|La|O|Sr,1,2,3,2,2,0,3,4,1,1,3
152,37,Ba|Cu|Ni|O|Y,1,0,2,1,2,2,3,4,0,3,0
153,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,0,0,3,1,1
154,41,Ag|Ba|Cu|O|Y,1,1,0,2,0,1,0,3,4,1,3
155,42,Ba|Cu|O|Pt|Y,4,2,4,3,2,1,2,1,2,4,1
156,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,0,4,3,1,3
157,37,Ba|Cu|Ni|O|Y,1,0,2,1,2,2,1,3,3,0,1
158,44,Ba|Cu|Mn|O|Y,2,1,0,2,4,2,2,4,2,1,1
159,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,0,1,2,3,1
160,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,4,3,3,2,0
161,8,Ba|Cu|O|Y,0,1,2,1,3,1,3,2,2,4,0
162,45,Ba|Cu|Li|O|Y,1,0,0,2,3,1,3,2,1,4,3
163,45,Ba|Cu|Li|O|Y,1,0,0,2,3,1,4,3,2,0,3
164,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,0,4,0,2,4
165,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,4,3,3,1,0
166,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,1,3,0,3,4
167,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,1,0,1,0
168,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,1,0,0,4,4
169,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,0,3,3,3,3
170,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,2,0,4,3,4
171,46,Ba|Cu|F|O|Y,2,4,3,3,2,3,4,2,3,4,3
172,46,Ba|Cu|F|O|Y,2,4,3,3,2,3,2,4,2,4,4
173,46,Ba|Cu|F|O|Y,2,4,3,3,2,3,3,4,0,3,2
174,46,Ba|Cu|F|O|Y,2,4,3,3,2,3,1,4,1,0,1
175,46,Ba|Cu|F|O|Y,2,4,3,3,2,3,2,0,0,0,1
176,46,Ba|Cu|F|O|Y,2,4,3,3,2,3,1,3,0,0,2
177,46,Ba|Cu|F|O|Y,2,4,3,3,2,3,3,1,4,2,1
178,46,Ba|Cu|F|O|Y,2,4,3,3,2,3,4,4,4,1,4
179,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,2,2,1,4
180,13,Ba|Cu|Gd|O,2,1,0,3,4,0,2,4,1,1,4
181,9,Ba|Cu|Er|O,2,0,3,4,4,4,1,2,2,3,4
182,14,Ba|Cu|Dy|O,4,1,4,1,3,3,3,4,3,0,3
183,15,Ba|Cu|Ho|O,0,0,4,0,3,2,0,0,1,0,4
184,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,4,0,3,3
185,2,Cu|La|O|Sr,1,2,3,2,2,0,3,1,3,4,0
186,25,Cu|La|Ni|O|Sr,3,4,4,4,0,3,3,3,3,0,0
187,25,Cu|La|Ni|O|Sr,3,4,4,4,0,3,0,1,4,1,1
188,25,Cu|La|Ni|O|Sr,3,4,4,4,0,3,1,3,0,3,2
189,25,Cu|La|Ni|O|Sr,3,4,4,4,0,3,2,4,4,2,0
190,47,Ba|Ca|Cu|O|Tl,3,2,1,1,4,1,1,4,4,4,3
191,47,Ba|Ca|Cu|O|Tl,3,2,1,1,4,1,3,1,1,1,3
192,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,1,3,2,0
193,48,Ba|Cu|O|Ti|Y,3,1,2,0,2,4,4,4,0,0,2
194,48,Ba|Cu|O|Ti|Y,3,1,2,0,2,4,1,3,0,1,1
195,48,Ba|Cu|O|Ti|Y,3,1,2,0,2,4,3,3,1,0,1
196,48,Ba|Cu|O|Ti|Y,3,1,2,0,2,4,0,0,0,2,1
197,48,Ba|Cu|O|Ti|Y,3,1,2,0,2,4,4,1,4,1,1
198,48,Ba|Cu|O|Ti|Y,3,1,2,0,2,4,3,4,1,1,2
199,49,Bi|Ca|Cu|O|Sr,2,0,2,4,3,0,3,0,2,2,0
200,49,Bi|Ca|Cu|O|Sr,2,0,2,4,3,0,3,1,1,3,2
201,49,Bi|Ca|Cu|O|Sr,2,0,2,4,3,0,0,0,3,1,4
202,49,Bi|Ca|Cu|O|Sr,2,0,2,4,3,0,2,1,1,0,0
203,26,Cu|La|O|Sr|Zn,4,4,3,4,1,2,1,0,1,2,1
204,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,4,3,1,3
205,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,2,0,1,1,3
206,50,Ba|Cr|Cu|O|Y,3,2,0,3,1,3,1,2,0,1,0
207,8,Ba|Cu|O|Y,0,1,2,1,3,1,3,4,1,2,3
208,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,0,4,1,0,0
209,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,3,1,1,0,4
210,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,2,3,2,3,1
211,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,4,0,2,0,3
212,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,0,1,0,1,2
213,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,4,0,1,1,0
214,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,0,3,1,2,2
215,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,4,2,3,1,4
216,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,1,4,4,3,1
217,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,1,0,4,1,1
218,37,Ba|Cu|Ni|O|Y,1,0,2,1,2,2,0,1,2,3,0
219,37,Ba|Cu|Ni|O|Y,1,0,2,1,2,2,1,0,3,4,0
220,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,0,1,0,4,1
221,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,0,0,1,1,0
222,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,3,0,0,1,1
223,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,0,1,4,0,0
224,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,2,1,2,3,3
225,37,Ba|Cu|Ni|O|Y,1,0,2,1,2,2,2,0,4,1,4
226,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,2,3,4,3,2
227,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,3,0,2,2,3
228,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,4,2,0,1,1
229,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,2,2,1,1
230,13,Ba|Cu|Gd|O,2,1,0,3,4,0,0,3,0,3,2
231,51,Ba|Cu|Gd|O|Sr,3,3,2,4,3,3,3,0,1,2,4
232,51,Ba|Cu|Gd|O|Sr,3,3,2,4,3,3,4,1,2,1,2
233,51,Ba|Cu|Gd|O|Sr,3,3,2,4,3,3,1,2,0,4,2
234,51,Ba|Cu|Gd|O|Sr,3,3,2,4,3,3,2,1,0,2,1
235,51,Ba|Cu|Gd|O|Sr,3,3,2,4,3,3,1,4,4,3,4
236,52,Cu|La|Na|O,3,1,4,2,4,0,3,0,3,1,1
237,52,Cu|La|Na|O,3,1,4,2,4,0,1,3,3,4,0
238,49,Bi|Ca|Cu|O|Sr,2,0,2,4,3,0,2,2,2,2,4
239,49,Bi|Ca|Cu|O|Sr,2,0,2,4,3,0,4,0,0,4,4
240,8,Ba|Cu|O|Y,0,1,2,1,3,1,3,1,0,2,4
241,15,Ba|Cu|Ho|O,0,0,4,0,3,2,3,2,1,0,3
242,17,Ba|Cu|O|Sm,4,0,0,3,4,1,0,0,0,1,2
243,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,4,1,0,1
244,12,Ba|Cu|Eu|O,2,3,0,3,4,4,2,1,3,3,1
245,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,4,1,3,1
246,11,Ba|Cu|Nd|O,2,2,2,2,1,2,2,0,1,1,4
247,49,Bi|Ca|Cu|O|Sr,2,0,2,4,3,0,2,4,4,1,2
248,2,Cu|La|O|Sr,1,2,3,2,2,0,4,0,2,0,1
249,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,1,0,1,4
250,53,Ba|Cu|Fe|Gd|O,4,1,2,4,3,1,1,2,3,3,4
251,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,3,0,4,2
252,9,Ba|Cu|Er|O,2,0,3,4,4,4,0,3,4,0,3
253,54,Ba|Cu|Er|O|Yb,2,2,1,0,3,2,2,1,1,1,1
254,54,Ba|Cu|Er|O|Yb,2,2,1,0,3,2,0,1,2,1,0
255,54,Ba|Cu|Er|O|Yb,2,2,1,0,3,2,2,0,3,1,4
256,54,Ba|Cu|Er|O|Yb,2,2,1,0,3,2,1,1,2,4,2
257,54,Ba|Cu|Er|O|Yb,2,2,1,0,3,2,0,4,1,2,4
258,6,Ba|Cu|O|Yb,2,1,0,1,0,4,0,2,0,3,2
259,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,4,2,2,0,4
260,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,1,2,0,3,0
261,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,0,4,0,2,0
262,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,3,2,4,1,0
263,37,Ba|Cu|Ni|O|Y,1,0,2,1,2,2,2,2,4,2,4
264,37,Ba|Cu|Ni|O|Y,1,0,2,1,2,2,4,4,2,1,4
265,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,2,4,1,1,1
266,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,4,1,4,1,1
267,43,Ba|Co|Cu|O|Y,1,2,3,2,1,3,2,2,1,3,2
268,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,1,1,2,3,1
269,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,3,4,0,1,3
270,14,Ba|Cu|Dy|O,4,1,4,1,3,3,2,3,3,1,4
271,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,4,0,2,2
272,8,Ba|Cu|O|Y,0,1,2,1,3,1,0,0,1,4,0
273,2,Cu|La|O|Sr,1,2,3,2,2,0,2,2,2,1,3
274,55,Ba|Cu|Ga|O|Y,4,2,3,4,3,2,1,2,4,0,1
275,55,Ba|Cu|Ga|O|Y,4,2,3,4,3,2,0,0,0,2,0
276,55,Ba|Cu|Ga|O|Y,4,2,3,4,3,2,0,2,0,4,0
277,8,Ba|Cu|O|Y,0,1,2,1,3,1,2,4,0,4,3
278,31,Ba|Cu|Fe|O|Y,3,2,3,4,1,0,0,2,0,0,4
279,13,Ba|Cu|Gd|O,2,1,0,3,4,0,4,3,2,0,1
280,12,Ba|Cu|Eu|O,2,3,0,3,4,4,1,2,1,3,3
281,11,Ba|Cu|Nd|O,2,2,2,2,1,2,2,4,2,0,0
282,11,Ba|Cu|Nd|O,2,2,2,2,1,2,0,1,0,2,4
283,11,Ba|Cu|Nd|O,2,2,2,2,1,2,3,2,4,4,0
284,11,Ba|Cu|Nd|O,2,2,2,2,1,2,2,4,2,4,0
285,56,Ba|Cu|Mo|O|Y,0,3,1,3,3,4,4,3,3,0,0
286,56,Ba|Cu|Mo|O|Y,0,3,1,3,3,4,0,1,2,2,0
287,56,Ba|Cu|Mo|O|Y,0,3,1,3,3,4,3,0,3,3,0
288,56,Ba|Cu|Mo|O|Y,0,3,1,3,3,4,4,1,2,3,1
289,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,2,2,0,1,0
290,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,3,0,1,3,1
291,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,1,2,0,0,4
292,40,Ba|Cu|O|Y|Zn,3,1,0,2,1,0,0,0,3,3,3
293,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,4,2,2,2,4
294,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,1,1,2,4,4
295,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,0,4,2,1,0
296,38,Al|Ba|Cu|O|Y,3,2,2,1,0,2,2,0,2,3,4
297,57,Ba|Cu|La|O|Y,4,0,3,4,0,1,2,2,3,1,3
298,57,Ba|Cu|La|O|Y,4,0,3,4,0,1,2,3,2,1,4
299,57,Ba|Cu|La|O|Y,4,0,3,4,0,1,1,2,4,2,0
300,57,Ba|Cu|La|O|Y,4,0,3,4,0,1,3,0,4,3,2
301,8,Ba|Cu|O|Y,0,1,2,1,3,1,4,2,1,3,1
302,11,Ba|Cu|Nd|O,2,2,2,2,1,2,3,2,4,2,3
303,17,Ba|Cu|O|Sm,4,0,0,3,4,1,4,3,4,1,4
304,12,Ba|Cu|Eu|O,2,3,0,3,4,4,2,2,2,2,4
305,13,Ba|Cu|Gd|O,2,1,0,3,4,0,3,3,0,4,4
306,14,Ba|Cu|Dy|O,4,1,4,1,3,3,3,1,4,4,0
307,15,Ba|Cu|Ho|O,0,0,4,0,3,2,4,0,2,4,1
308,9,Ba|Cu|Er|O,2,0,3,4,4,4,0,0,1,2,4
309,10,Ba|Cu|O|Tm,3,0,0,3,2,2,2,2,4,2,2
310,6,Ba|Cu|O|Yb,2,1,0,1,0,4,1,0,0,0,0
311,39,Ba|Cu|H|O|Y,3,0,2,2,3,2,2,2,3,1,1
312,39,Ba|Cu|H|O|Y,3,0,2,2,3,2,1,4,0,2,4
313,13,Ba|Cu|Gd|O,2,1,0,3,4,0,1,1,4,0,3
314,14,Ba|Cu|Dy|O,4,1,4,1,3,3,3,2,4,3,0
315,17,Ba|Cu|O|Sm,4,0,0,3,4,1,3,4,3,3,0
316,15,Ba|Cu|Ho|O,0,0,4,0,3,2,1,1,2,1,2
317,8,Ba|Cu|O|Y,0,1,2,1,3,1,3,1,2,0,1
318,11,Ba|Cu|Nd|O,2,2,2,2,1,2,3,1,2,1,1
319,58,Ba|Cu|Nd|O|S,1,1,1,1,0,1,3,1,0,2,2
320,58,Ba|Cu|Nd|O|S,1,1,1,1,0,1,1,3,4,4,4
321,59,Ba|Cu|Eu|O|S,2,1,2,3,0,3,0,0,0,2,1
