dataset,seed,group,y,pred,nn_dist,violated
B,0,149,3.37,1.7807817,3.3611996173858643,0
B,0,1,10.4,53.81619,0.34907811880111694,1
B,0,156,2.04,1.383782,4.128779411315918,0
B,0,169,6.358285714,3.910993,2.044726610183716,0
B,0,27,3.32,3.0328498,0.6606637239456177,0
B,0,175,0.5,2.8598123,1.2681668996810913,0
B,0,22,16.9,50.620857,1.0673638582229614,1
B,0,179,4.3,5.2305613,2.468142032623291,0
B,0,182,1.29,3.5744278,3.7223293781280518,0
B,0,188,66.0,60.487087,1.0838565826416016,0
B,0,189,7.0,4.0513744,3.3448314666748047,0
B,0,191,10.05,13.123571,0.7784830927848816,0
B,0,192,7.55,7.2272105,5.422526836395264,0
B,0,195,2.05,1.4607123,0.22008134424686432,0
B,0,196,1.8,1.6170702,2.0713822841644287,0
B,0,189,2.44,3.921719,3.39961838722229,0
B,0,44,25.0,22.318695,0.9146884083747864,0
B,0,202,5.2,3.920294,3.6673266887664795,0
B,0,64,6.0,60.49929,0.19566373527050018,1
B,0,179,4.55,5.0374675,2.195357322692871,0
B,0,204,27.0,21.817606,1.3936041593551636,0
B,0,1,29.9,59.090557,0.4105759561061859,1
B,0,206,2.33,2.3971663,4.482022762298584,0
B,0,119,18.0,20.846785,1.4848780632019043,0
B,0,215,4.35,3.4514363,3.857344627380371,0
B,0,217,16.4,16.504309,0.8859093189239502,0
B,0,224,16.8,19.492239,1.2161974906921387,0
B,0,226,6.5,26.086632,2.7819221019744873,1
B,0,10,37.8,46.932617,0.5221191048622131,0
B,0,227,1.77,1.8407284,2.6896512508392334,0
B,0,228,18.01,14.04173,0.8725835680961609,0
B,0,229,2.31,7.5522475,7.351449489593506,0
B,0,232,5.5,8.891721,1.8660011291503906,0
B,0,234,1.12,4.778205,4.900793075561523,0
B,0,235,0.22,1.3625038,1.7087966203689575,0
B,0,1,73.0,66.729454,0.23868414759635925,0
B,0,49,27.0,65.80064,0.4704221189022064,1
B,0,238,1.2,2.3527288,2.968409538269043,0
B,0,49,65.0,80.79367,0.3134722113609314,1
B,0,242,15.25,26.149508,0.0840255618095398,0
B,0,244,28.9,24.676285,3.9112298488616943,0
B,0,245,19.5,20.132603,0.5824617743492126,0
B,0,248,4.8,8.29701,1.7516160011291504,0
B,0,64,56.0,78.47084,0.1760232150554657,1
B,0,251,3.25,4.427015,2.1224818229675293,0
B,0,252,24.6,19.144136,1.5671559572219849,0
B,0,253,31.0,23.253036,0.5042517185211182,0
B,0,64,25.0,62.195904,0.20238713920116425,1
B,0,227,3.01,-0.16795154,2.326785087585449,0
B,0,148,9.61,8.764039,1.447919487953186,0
B,0,259,14.0,10.132869,4.116115570068359,0
B,0,263,15.6,14.415166,1.5008169412612915,0
B,0,41,3.223,5.783496,3.9183895587921143,0
B,0,269,16.9,15.993903,0.22715911269187927,0
B,0,271,9.0,6.446698,4.397268772125244,0
B,0,41,3.64,4.67059,5.656922817230225,0
B,0,276,3.0,55.982845,2.178525447845459,1
B,0,289,2.96,6.886107,4.4405975341796875,0
B,0,290,82.0,80.329025,0.17242705821990967,0
B,0,295,2.925,7.9757442,11.157668113708496,0
B,0,296,5.9,6.779971,0.9339355230331421,0
B,0,298,10.5,27.0164,1.566016674041748,1
B,0,299,1.0,3.776036,2.96061635017395,0
B,0,302,5.93,5.520775,8.198846817016602,0
B,0,303,3.549542857,5.2936926,2.890427589416504,0
B,0,305,47.0,73.1699,4.4643635749816895,1
B,0,306,2.3,9.568574,4.663116931915283,0
B,0,311,32.0,56.368515,0.29353848099708557,1
B,0,44,35.0,22.248528,0.8289083242416382,1
B,0,314,4.3,2.949812,4.034818649291992,0
B,0,316,13.0,32.95068,2.6983869075775146,1
B,0,317,29.0,39.151527,0.2167181670665741,0
B,0,320,9.0,10.962111,0.03670535236597061,0
B,0,322,73.0,63.260963,0.8932308554649353,0
B,0,326,31.0,19.40611,3.9360239505767822,0
B,0,330,3.3,2.9614706,1.5531443357467651,0
B,0,332,18.3,13.384467,3.365885019302368,0
B,0,333,7.0,8.190187,2.2125837802886963,0
B,0,156,2.2,1.6061424,4.33016300201416,0
B,0,189,5.866666667,3.5865521,2.5748190879821777,0
B,0,338,41.1,35.32794,6.834531307220459,0
B,0,346,3.575,5.8611574,3.704967737197876,0
B,0,349,5.03,11.767897,1.2379027605056763,0
B,0,302,8.42,5.7115693,8.119436264038086,0
B,0,351,82.0,64.7904,0.049018435180187225,1
B,0,117,3.85,1.4749846,3.749349355697632,0
B,0,352,13.3,12.477391,1.572400450706482,0
B,0,353,1.41,3.457578,1.7014551162719727,0
B,0,206,2.28,2.3971663,4.482022762298584,0
B,0,357,4.15,4.472756,1.7450244426727295,0
B,0,361,10.7,9.613815,1.3363772630691528,0
B,0,369,3.81,2.8151557,2.5125298500061035,0
B,0,251,1.8,3.2202592,2.7052054405212402,0
B,0,380,0.014,0.34716675,1.9386441707611084,0
B,0,385,3.7,3.752495,4.746006488800049,0
B,0,64,14.2,67.17212,0.18065230548381805,1
B,0,390,19.0,16.254385,0.5981794595718384,0
B,0,137,36.7,20.722368,0.7319067120552063,1
B,0,392,12.1,10.819839,2.085071563720703,0
B,0,396,25.5,20.183348,0.8884261250495911,0
B,0,398,13.0,10.974356,2.789571762084961,0
B,0,399,7.75,11.351843,0.9119077920913696,0
B,0,402,1.89,1.7410485,2.2579615116119385,0
B,0,405,5.8,5.438549,1.3911633491516113,0
B,0,1,7.6,54.847027,0.30032867193222046,1
B,0,64,86.0,86.366394,0.17411886155605316,0
B,0,410,2.5,3.0967503,4.137636661529541,0
B,0,1,80.0,74.27059,0.15830621123313904,0
B,0,411,53.1,59.559006,1.6278882026672363,0
B,0,357,5.25,5.3176827,1.8795561790466309,0
B,0,137,28.0,20.234095,0.7163005471229553,0
B,0,418,5.78,6.136716,3.3322250843048096,0
B,0,422,102.0,17.999538,7.076683521270752,1
B,0,425,5.48,11.44617,4.006378650665283,0
B,0,64,45.0,59.763126,0.15751990675926208,1
B,0,57,57.5,57.65534,1.0765970945358276,0
B,0,426,15.65,16.359049,0.6692344546318054,0
B,0,427,4.915,2.4510217,3.071087598800659,0
B,0,1,55.0,46.86732,0.3606410622596741,0
B,0,436,34.0,34.238247,0.2824140191078186,0
B,0,438,27.85,28.26467,2.584911584854126,0
B,0,402,1.42,1.7582693,2.2601473331451416,0
B,0,64,70.1,81.3034,0.1661786437034607,0
B,0,443,15.2,37.55333,3.993015766143799,1
B,0,446,10.9,10.358629,3.465006113052368,0
B,0,452,0.72,2.7104428,2.1449217796325684,0
B,0,453,1.290384615,31.895912,3.505673885345459,1
B,0,454,3.193333333,5.233981,5.250401973724365,0
B,0,457,60.0,28.77021,1.1961687803268433,1
B,0,459,2.76,5.1126423,1.3611806631088257,0
B,0,461,82.0,78.32402,0.17812415957450867,0
B,0,463,30.0,25.825968,3.6288363933563232,0
B,0,465,33.5,18.992466,0.2059173583984375,1
B,0,1,46.1,53.891533,0.32647639513015747,0
B,0,352,8.45,9.251345,1.3835787773132324,0
B,0,156,2.2,1.7935476,4.308665752410889,0
B,0,472,14.2,8.177865,1.670841097831726,0
B,0,476,83.71,83.57903,0.25704312324523926,0
B,0,314,3.82,3.528145,3.3152682781219482,0
B,0,478,84.1,67.17823,0.45074552297592163,1
B,0,480,1.1,2.1585457,1.4673658609390259,0
B,0,192,7.1,7.021343,4.749837398529053,0
B,0,326,38.0,21.243975,3.961242437362671,1
B,0,482,5.34,9.447803,2.068615674972534,0
B,0,483,14.2,13.327002,1.608440637588501,0
B,0,10,31.6,33.69901,0.6297964453697205,0
B,0,357,4.47,4.099644,1.6862602233886719,0
B,0,485,2.5,12.417868,6.38765811920166,0
B,0,487,94.0,79.54162,0.46507999300956726,1
B,0,488,5.033571429,3.3233788,0.4006096422672272,0
B,0,489,2.35,3.0415208,3.471832275390625,0
B,0,491,3.5,3.172116,1.143765926361084,0
B,0,361,6.9,9.035061,1.2844487428665161,0
B,0,493,1.5975,3.3761017,5.82852840423584,0
B,0,496,5.1,5.8271737,4.01359748840332,0
B,0,501,14.6,22.293596,0.8414087295532227,0
B,0,502,6.0,4.5970535,2.9501256942749023,0
B,0,503,6.0,9.853194,2.5694897174835205,0
B,0,507,91.25,63.00539,3.266939640045166,1
B,0,64,20.0,58.552856,0.1641634702682495,1
B,0,496,7.035,7.117019,3.0300779342651367,0
B,0,514,5.05,5.548899,4.815436363220215,0
B,0,188,65.0,58.65366,1.327021837234497,0
B,0,517,1.725,2.5229688,2.5487887859344482,0
B,0,196,0.9865,1.4777437,2.3923041820526123,0
B,0,518,28.4,29.84601,2.834106922149658,0
B,0,332,16.5,9.04575,3.3791346549987793,0
B,0,526,3.8,4.182694,1.6238154172897339,0
B,0,446,6.0,4.6538305,3.2178456783294678,0
B,0,527,0.02,0.09061768,1.582455039024353,0
B,0,528,11.4,10.2158375,1.2893346548080444,0
B,0,529,1.75,4.087165,5.371065616607666,0
B,0,64,31.5,65.27546,0.1540435254573822,1
B,0,530,17.35,24.662352,3.523087739944458,0
B,0,531,81.0,59.90952,0.5511898398399353,1
B,0,533,0.345,1.865888,4.967249393463135,0
B,0,411,83.9,79.53939,1.5645602941513062,0
B,0,536,1.13,3.857962,4.664551258087158,0
B,0,33,17.2,13.389267,1.2652255296707153,0
B,0,538,25.3,17.245274,3.563347339630127,0
B,0,1,76.9,53.432087,0.2506381869316101,1
B,0,64,22.5,63.691624,0.18847252428531647,1
B,0,543,2.52,3.109373,2.1832876205444336,0
B,0,545,5.0,69.030304,1.9721848964691162,1
B,0,546,22.0,38.063877,1.5628782510757446,1
B,0,547,1.47,6.845146,2.2956197261810303,0
B,0,33,17.4,10.997052,1.7879176139831543,0
B,0,482,6.3,9.542547,2.2930080890655518,0
B,0,302,7.33,5.520775,8.198846817016602,0
B,0,553,6.19,11.345179,1.2954645156860352,0
B,0,224,19.1,18.695297,1.394191026687622,0
B,0,558,3.85,9.203669,2.5426619052886963,0
B,0,562,9.0,4.2889795,3.73044490814209,0
B,0,563,5.6,5.7492642,1.497450590133667,0
B,0,564,4.48,5.2301393,3.5617282390594482,0
B,0,1,76.0,68.61066,0.3598945438861847,0
B,0,565,22.1,15.927469,0.29542940855026245,0
B,0,566,6.4,5.301315,5.269586563110352,0
B,0,567,11.3,13.448695,1.5649075508117676,0
B,0,569,11.8,16.939919,4.208794593811035,0
B,0,570,1.8,1.2930595,1.5403809547424316,0
B,0,547,2.3,6.276168,7.342065811157227,0
B,0,351,59.0,69.41279,0.25524649024009705,0
B,0,572,1.9,3.6521745,3.8802340030670166,0
B,0,357,2.743,4.0277295,2.565335750579834,0
B,0,575,1.5,2.2259839,1.551422119140625,0
B,0,578,3.2,3.363673,2.6382110118865967,0
B,0,189,1.35,3.9985495,4.72409725189209,0
B,0,351,95.0,53.58241,0.04940427094697952,1
B,0,581,7.52,8.28758,1.752382516860962,0
B,0,582,3.9,6.7778687,7.287963390350342,0
B,0,57,82.0,66.29274,1.107297658920288,1
B,0,232,5.4,7.8900614,1.707263469696045,0
B,0,587,96.3,51.67168,0.6953489184379578,1
B,0,422,80.5,80.02436,0.9458803534507751,0
B,0,179,3.58,4.550913,4.49673318862915,0
B,0,596,13.0,15.569173,0.8866580128669739,0
B,0,597,0.1,0.5074329,4.613007545471191,0
B,0,599,1.433333333,2.8442981,0.5378696322441101,0
B,0,600,20.2,37.47161,4.0188703536987305,1
B,0,601,0.0318,0.7700198,3.327397584915161,0
B,0,1,43.0,33.548347,0.47836434841156006,0
B,0,64,50.08,61.519623,0.15522217750549316,0
B,0,351,78.0,66.34155,0.09885133057832718,0
B,0,49,13.0,33.595642,0.46553197503089905,1
B,0,609,7.63,3.7858863,5.496004581451416,0
B,0,610,8.45,6.0469604,2.8844830989837646,0
B,0,615,1.4,3.7169313,3.357384443283081,0
B,0,616,95.8,70.76044,1.4238466024398804,1
B,0,618,9.23,7.12099,11.656109809875488,0
B,0,619,0.75,10.458634,6.897048473358154,0
B,0,22,55.3,72.11691,1.0641876459121704,1
B,0,621,69.1,65.713234,0.41123855113983154,0
B,0,23,14.2,13.284715,1.1714177131652832,0
B,0,628,0.75,2.8976634,8.270122528076172,0
B,0,1,21.3,53.364944,0.22865547239780426,1
B,0,189,2.4,2.4698503,2.8424999713897705,0
B,0,634,7.445,4.642021,1.3848358392715454,0
B,0,638,1.21,1.0845711,1.1861016750335693,0
B,0,641,2.215,1.7886255,2.9537503719329834,0
B,0,643,1.49,1.1825801,4.135701656341553,0
B,0,648,2.3,7.256753,2.918661117553711,0
B,0,245,26.9,26.232351,0.47650980949401855,0
B,0,652,30.0,44.48208,5.421770095825195,1
B,0,653,1.98,5.0230746,8.686278343200684,0
B,0,654,3.05,4.565255,4.445370674133301,0
B,0,655,14.1,27.362906,1.2239612340927124,1
B,0,661,10.4,9.946401,3.465210437774658,0
B,0,252,24.0,18.861359,1.6060954332351685,0
B,0,369,4.115,2.77992,4.482808589935303,0
B,0,643,4.82,4.452623,2.284588575363159,0
B,0,22,63.0,72.03222,1.1075987815856934,0
B,0,507,91.7,59.08026,3.3522002696990967,1
B,0,663,6.0,0.7417925,4.640811920166016,0
B,0,507,42.05,61.18078,3.459162712097168,1
B,0,666,38.0,32.87849,2.556952476501465,0
B,0,70,15.48,12.139205,1.8479399681091309,0
B,0,667,3.5,4.8819876,1.9040024280548096,0
B,0,668,47.0,56.556404,3.073636054992676,0
B,0,670,3.83,2.893206,4.66279935836792,0
B,0,64,22.5,64.10111,0.2102481722831726,1
B,0,507,91.4,57.891518,3.6260597705841064,1
B,0,672,2.7,1.4049902,8.542391777038574,0
B,0,674,17.0,18.959232,1.0644875764846802,0
B,0,675,94.0,57.263462,0.3156965672969818,1
B,0,600,28.3,22.69353,2.145066976547241,0
B,0,676,2.1,1.6794918,5.659323692321777,0
B,0,487,94.9,63.537388,0.421176016330719,1
B,0,678,8.3,11.795002,4.055225372314453,0
B,0,182,0.1,2.7949657,4.040736198425293,0
B,0,109,32.0,54.92829,0.8413083553314209,1
B,0,204,35.0,23.399637,0.9808759093284607,0
B,0,655,30.55,29.592829,1.2213256359100342,0
B,0,682,25.0,25.66343,1.103846549987793,0
B,0,683,3.4,2.9662542,2.141286611557007,0
B,0,685,47.0,61.089535,0.28144755959510803,1
B,0,686,77.1,60.27004,0.17181062698364258,1
B,0,687,103.0,113.25213,0.9842978715896606,0
B,0,688,1.1,2.068767,1.9086167812347412,0
B,0,64,81.0,85.04693,0.17716814577579498,0
B,0,692,2.86,6.421357,6.869040489196777,0
B,0,700,82.0,45.383144,4.818589210510254,1
B,0,22,91.5,84.62913,1.0650157928466797,0
B,0,701,11.8,6.289751,2.2446110248565674,0
B,0,702,45.0,34.138435,1.0113195180892944,0
B,0,290,82.0,83.827415,0.15697714686393738,0
B,0,704,4.0,4.8635902,3.640528917312622,0
B,0,399,10.1,11.153467,3.065993547439575,0
B,0,22,36.0,38.381233,1.0676639080047607,0
B,0,569,10.1,16.736427,4.413163185119629,0
B,0,119,21.6,20.237087,1.4833834171295166,0
B,0,64,45.0,27.57376,0.15416930615901947,1
B,0,710,47.0,31.782183,3.3607680797576904,1
B,0,711,0.18,0.49445015,1.9531949758529663,0
B,0,712,2.41,3.6176722,2.580479621887207,0
B,0,713,2.53,3.1485841,2.849034070968628,0
B,0,716,12.2,3.8324869,1.8416208028793335,0
B,0,476,87.99,83.27554,0.28426605463027954,0
B,0,290,82.0,89.20326,0.10507193207740784,0
B,0,719,1.9,2.750114,4.434048652648926,0
B,0,191,11.8,13.233408,0.7588947415351868,0
B,0,720,3.86,9.473283,0.998472273349762,0
B,0,722,4.53,3.0859845,0.5976487994194031,0
B,0,723,10.8,6.9758887,5.765611171722412,0
B,0,727,7.2,1.8263398,3.1517646312713623,0
B,0,728,14.4,9.437253,1.7970167398452759,0
B,0,224,15.0,19.079466,1.2416588068008423,0
B,0,570,1.746,2.238276,1.4670329093933105,0
B,0,731,12.8,9.88875,3.6487157344818115,0
B,0,195,2.15,1.480206,0.23832863569259644,0
B,0,70,5.7,8.786833,1.8855812549591064,0
B,0,235,13.0,4.5163627,6.511553764343262,0
B,0,109,43.0,51.092133,0.9245287775993347,0
B,0,566,5.4,5.2460303,5.293609142303467,0
B,0,743,17.04,17.036224,0.9103675484657288,0
B,0,189,5.626666667,2.767786,2.743561029434204,0
B,0,745,2.46,2.8551373,1.635070562362671,0
B,0,746,2.84,2.1148062,3.0715277194976807,0
B,0,748,11.8,8.392222,1.24398934841156,0
B,0,751,8.5,6.5169525,2.2974231243133545,0
B,0,685,66.0,78.904045,0.18031978607177734,1
B,0,64,77.0,79.60112,0.17385226488113403,0
B,0,758,33.45,32.301884,4.132950782775879,0
B,0,4,5.56,4.2820783,2.3238983154296875,0
B,0,189,3.67,4.186177,2.6728203296661377,0
B,0,252,27.0,21.011452,1.6171414852142334,0
B,0,762,1.1,1.3843557,2.74611234664917,0
B,0,1,68.7,51.732967,0.3102707862854004,1
B,0,191,10.9,14.428649,2.580172538757324,0
B,0,766,4.55,7.8987556,1.6374081373214722,0
B,0,517,1.9,2.6143603,2.5376038551330566,0
B,0,242,43.8,57.39068,0.43785351514816284,1
B,0,768,1.3,7.54021,1.2885938882827759,0
B,0,49,32.0,22.194004,0.17565082013607025,0
B,0,621,63.8,66.36524,0.38649237155914307,0
B,0,775,4.22,10.927529,0.6795570850372314,0
B,0,776,0.543333333,0.6607877,3.9728527069091797,0
B,0,778,13.0,23.542645,1.122481107711792,0
B,0,779,41.0,60.431602,2.1807780265808105,1
B,0,781,75.0,49.727844,1.729665994644165,1
B,0,783,1.57,1.9995599,2.9024250507354736,0
B,0,411,50.6,61.7973,1.6635348796844482,0
B,0,675,59.8,46.923283,0.35456693172454834,1
B,0,40,1.378,2.5024898,2.939659595489502,0
B,0,235,0.59,1.3625038,1.7087808847427368,0
B,0,1,70.0,52.491787,0.40100744366645813,1
B,0,491,4.0,1.079084,1.3075511455535889,0
B,0,791,1.78,3.0295348,6.2435455322265625,0
B,0,683,3.62,2.863032,2.1347172260284424,0
B,0,618,7.38,5.809432,11.424436569213867,0
B,0,793,0.97,2.2502477,2.2471799850463867,0
B,0,794,4.45,3.332472,4.521742820739746,0
B,0,1,20.0,24.157312,0.0035815946757793427,0
B,0,40,1.668,1.9980587,2.2677512168884277,0
B,0,251,3.5,5.298943,1.7871816158294678,0
B,0,242,31.1,29.873632,0.07019501179456711,0
B,0,806,6.26,1.7220864,3.1999897956848145,0
B,0,688,9.8,3.4085636,1.9501630067825317,0
B,0,812,5.6,12.480891,7.069985866546631,0
B,0,402,1.5,1.7411647,2.2853310108184814,0
B,0,251,2.95,4.317298,2.9902544021606445,0
B,0,1,8.0,62.648975,0.4242744743824005,1
B,0,817,15.0,13.170763,0.6389000415802002,0
B,0,22,78.3,82.216774,1.0647326707839966,0
B,0,581,7.305,6.918014,1.4609347581863403,0
B,0,820,1.35,8.601327,6.249644756317139,0
B,0,587,96.3,51.755943,0.6961514949798584,1
B,0,825,81.0,78.53609,1.375771164894104,0
B,0,621,49.3,64.57207,0.37424129247665405,1
B,0,643,4.05,3.4532142,2.2532527446746826,0
B,0,826,3.26,3.1345458,4.773550987243652,0
B,0,817,17.8,13.16545,0.6514090895652771,0
B,0,655,15.6,27.50488,1.2279832363128662,1
B,0,831,3.18,5.3540835,1.7692021131515503,0
B,0,10,28.0,32.818382,0.4708079397678375,0
B,0,836,0.046,0.77490467,6.869009494781494,0
B,0,402,1.73,1.7193743,2.2580153942108154,0
B,0,838,0.7,-0.16248305,4.7364397048950195,0
B,0,1,14.4,55.719364,0.2545551657676697,1
B,0,840,91.1,83.01168,0.10007932782173157,0
B,0,841,6.2,6.4113503,1.6584850549697876,0
B,0,64,55.0,78.24728,0.17235851287841797,1
B,0,290,82.0,63.646107,0.2631746828556061,1
B,0,847,28.93333333,11.796814,2.6970465183258057,1
B,0,621,49.8,64.566345,0.3739442527294159,1
B,0,49,26.9,24.47537,0.1828930377960205,0
B,0,461,20.0,69.58271,0.24458202719688416,1
B,0,849,3.92,3.1389983,4.11096715927124,0
B,0,850,11.6,18.097681,1.1016504764556885,0
B,0,496,3.9,5.4041457,4.744841575622559,0
B,0,10,36.7,48.089344,0.40473756194114685,0
B,0,852,2.3,3.0206892,1.6087247133255005,0
B,0,476,69.0,69.102066,1.0037943124771118,0
B,0,503,6.7,9.740738,1.0159785747528076,0
B,0,1,75.2,56.341568,0.25252246856689453,1
B,0,242,45.1,61.257393,0.386890709400177,1
B,0,507,76.7,48.2696,3.84089732170105,1
B,0,861,92.3,63.03655,0.2852897346019745,1
B,0,144,5.98,3.964664,0.40431177616119385,0
B,0,867,7.8,6.497444,3.030250072479248,0
B,0,868,0.0555,0.23976637,1.393275499343872,0
B,0,874,1.2,2.2686942,6.873695373535156,0
B,0,878,77.0,68.241234,0.5984450578689575,0
B,0,879,17.0,16.242788,3.566741943359375,0
B,0,64,28.0,58.423397,0.17880696058273315,1
B,0,333,4.6,8.422774,2.48073673248291,0
B,0,880,14.0,39.918915,2.043633222579956,1
B,0,192,8.99,7.356455,5.635371685028076,0
B,0,396,24.6,14.763842,2.2610182762145996,0
B,0,425,12.6,13.177766,2.1942646503448486,0
B,0,882,1.3,6.6758494,2.510451078414917,0
B,0,1,72.9,68.26879,0.2194427102804184,0
B,0,610,2.8,7.092996,3.6218161582946777,0
B,0,883,0.85,3.569221,1.545788288116455,0
B,0,276,6.471666667,32.98165,2.3074605464935303,1
B,0,314,5.986666667,3.8508837,3.5803160667419434,0
B,0,686,73.4,67.46493,0.15603354573249817,0
B,0,886,8.2,5.2481456,0.232513427734375,0
B,0,507,86.0,73.59367,3.2367804050445557,1
B,0,890,9.11,9.345374,1.4635009765625,0
B,0,825,63.0,64.041016,1.381817102432251,0
B,0,895,5.07,5.69787,0.46687179803848267,0
B,0,896,17.99,16.277119,0.9295872449874878,0
B,0,898,67.0,63.50954,0.20703192055225372,0
B,0,899,3.935,3.1342764,7.756686687469482,0
B,0,900,6.4,10.713469,1.8213404417037964,0
B,0,905,26.7,20.386797,0.5317975878715515,0
B,0,906,5.6,10.300472,2.933152437210083,0
B,0,909,4.87,12.977187,0.7378777265548706,0
B,0,562,8.1,8.527128,5.5561299324035645,0
B,0,910,3.8,3.2958617,2.340369701385498,0
B,0,912,8.0,9.263734,0.46293938159942627,0
B,0,913,2.04,3.838887,3.7207276821136475,0
B,0,914,7.4775,4.149499,3.107513666152954,0
B,0,1,5.0,62.648975,0.42284202575683594,1
B,0,918,3.7,5.0591183,0.40587395429611206,0
B,0,461,75.0,81.42207,0.1704069823026657,0
B,0,53,2.98,2.9936278,3.126077651977539,0
B,0,899,2.99,3.0882483,7.726791858673096,0
B,0,528,3.4,8.066265,1.5800073146820068,0
B,0,921,0.98,27.9304,2.970566749572754,1
B,0,923,5.32,7.639301,3.8102564811706543,0
B,0,924,0.126,0.49107778,5.936631202697754,0
B,0,600,23.0,32.58874,5.51716947555542,0
B,0,276,110.0,47.18167,2.0851962566375732,1
B,0,581,7.49,8.28758,1.7477456331253052,0
B,0,927,7.214,7.700841,3.795050859451294,0
B,0,22,73.0,54.317215,1.0639474391937256,1
B,0,934,1.39,2.2259905,3.6971983909606934,0
B,0,935,5.6,3.9406304,6.62733268737793,0
B,0,936,2.49,2.2177303,1.8208518028259277,0
B,0,937,3.3,3.2577908,3.600205421447754,0
B,0,938,14.1,32.27988,2.3693861961364746,1
B,0,648,2.01,4.412605,3.6958367824554443,0
B,0,507,94.5,72.43838,3.2363269329071045,1
B,0,943,0.24835,0.73343664,3.270275354385376,0
B,0,951,7.5,5.3027935,3.6492016315460205,0
B,0,23,5.5,9.0335,2.873908281326294,0
B,0,953,3.3,3.4093654,3.967804431915283,0
B,0,64,67.0,68.43922,0.18221034109592438,0
B,0,357,1.56,3.9764,2.566141366958618,0
B,0,507,92.0,44.285713,4.076438903808594,1
B,0,668,57.0,72.7231,2.8021788597106934,1
B,0,850,26.5,21.632776,1.1034032106399536,0
B,0,33,17.8,10.190568,1.230334758758545,0
B,0,958,1.15,3.595146,2.5877819061279297,0
B,0,44,7.072857143,19.304731,0.9024862051010132,1
B,0,276,110.0,42.204002,2.1039562225341797,1
B,0,1,60.0,57.030624,0.33141911029815674,0
B,0,655,10.8,21.596272,1.2202084064483643,0
B,0,961,50.7,63.246014,0.985955536365509,1
B,0,298,5.5,28.177643,1.5616004467010498,1
B,0,962,8.35,11.922585,14.609782218933105,0
B,0,731,17.3,7.9433703,2.180002450942993,0
B,0,189,5.0,3.2250156,2.6093738079071045,0
B,0,720,10.0,11.645467,0.5963882803916931,0
B,0,427,3.77,2.0641754,3.078745126724243,0
B,0,569,10.7,16.311626,4.2601165771484375,0
B,0,57,57.5,59.962082,1.0848042964935303,0
B,0,330,3.3,2.9614706,1.5531443357467651,0
B,0,728,14.6,9.704207,1.880176067352295,0
B,0,969,83.0,69.43076,0.9016222357749939,1
B,0,64,73.9,83.27783,0.17541274428367615,0
B,0,195,1.35,1.4474581,0.3953857123851776,0
B,0,37,11.3,9.20097,2.392284870147705,0
B,0,357,4.0,4.381691,1.7161835432052612,0
B,0,977,1.1,5.581232,2.2399375438690186,0
B,0,979,3.12,5.330425,0.8245354890823364,0
